Accession/Planting,Most Recent Inventory Date,Status,Inventory Note,Most Recent Measurement Date,Height,Height Unit,Measurement Note,Inventory Latitude,Inventory Longitude
2013-0012-01-19,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,7.8,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595118,-111.944895
2013-0012-01-2,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,9.7,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595771,-111.9446255
2013-0012-01-20,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,6.4,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595637,-111.9448544
2013-0012-01-21,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,6.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595814,-111.9448394
2013-0012-01-22,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,6.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595861,-111.9448759
2013-0012-01-23,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,17.4,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595248,-111.944992
2013-0012-01-24,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,17.7,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.459548,-111.9450679
2013-0012-01-3,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,5.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595783,-111.9446073
2013-0012-01-4,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,15.7,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595042,-111.9444855
2013-0012-01-5,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,14.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4594418,-111.9444531
2013-0012-01-6,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,7,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595001,-111.9446021
2013-0012-01-7,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,14.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595124,-111.9446742
2013-0012-01-8,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,15.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4593946,-111.9446673
2013-0012-01-9,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,11.7,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4593341,-111.9446958
2013-0013-01-1,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,4,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4600663,-111.9438908
2013-0013-01-10,2/26/2020 13:38,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:38,1.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4598635,-111.9443836
